text,nic_code,nic_label,division
i own a we sell fast food near me,56102,Cafeterias and fast food restaurants,Hospitality
makingbread bakery unit as micro enterprise,10711,Manufacture of bread,Manufacturing
travel agency for domestic use,52291,Activities of travel agents,Transport
i do gents tailor shop for domestic use,14105,Custom tailoring,Manufacturing
i do home tiffin service,56291,Activities of food service contractors,Hospitality
the company is engaged in private hospital business,86100,Hospital activities,Healthcare
i do chai bagicha in assam,1271,Growing of tea,Agriculture
sellingcanteen mess in my village,56292,Operation of canteens,Hospitality
Growingbakery products for domestic use,10712,Manufacture of biscuits and cakes,Manufacturing
we have a papad and appalam production,10796,Manufacture of papads and appalam,Manufacturing
sellingelectronic goods shop as msme,47420,Retail sale of audio and video equipment,Trade
makingwe repair cars and vehicles on small scale,45200,Maintenance and repair of motor vehicles,Trade
Growingjaggery making unit as micro enterprise,10722,Manufacture of gur from sugarcane,Manufacturing
servicewe sell electronics business,47420,Retail sale of audio and video equipment,Trade
we do led lamp manufacturing in my village,27400,Manufacture of electric lighting equipment,Manufacturing
i sell pulse milling unit on small scale,10613,Dal (pulses) milling,Manufacturing
repairingreadymade garment shop in my village,47711,Retail sale of readymade garments,Trade
my work involves we grow coffee in coorg,1272,Growing of coffee,Agriculture
we deal in we make ice cream kulfi business,10505,Manufacture of ice cream,Manufacturing
we provide online retail business for export,47912,Retail sale via e-commerce,Trade
our unit is involved in coal mining,5101,Opencast mining of hard coal,Mining
our business is dairy farming at home,1412,Production of milk from cows or buffaloes,Agriculture
i am a we make handmade carpets since many years,13931,Manufacture of carpets of cotton,Manufacturing
our unit is involved in we make plastic sheets and boards at home,22201,Manufacture of semi-finished plastic products,Manufacturing
we provide we manufacture chocolates since many years,10732,Manufacture of chocolate,Manufacturing
i run a two wheeler manufacturing on small scale,30911,Manufacture of motorcycles and scooters,Manufacturing
business activity: i make agarbatti for domestic use,20238,Manufacture of agarbatti,Manufacturing
pottery making,23931,Manufacture of articles of porcelain and pottery,Manufacturing
i am doing we have a flour grinding unit on small scale,10611,Flour milling,Manufacturing
i am doing flour mill,10611,Flour milling,Manufacturing
limestone mining,8107,Mining of limestone,Mining
churi banane ka kaam on small scale,23106,Manufacture of glass bangles,Manufacturing
chemist shop business,47721,Retail sale of pharmaceuticals,Trade
my work involves flour mill as micro enterprise,10611,Flour milling,Manufacturing
manufacturingsoap making,20231,Manufacture of soap all forms,Manufacturing
makingreadymade garments manufacturing for domestic use,14101,Manufacture of textile garments,Manufacturing
business activity: jute farming as a home business,1162,Growing of jute,Agriculture
sellingwe give loans to people for domestic use,64920,Other credit granting,Finance
repairingcarpet weaving unit as micro enterprise,13931,Manufacture of carpets of cotton,Manufacturing
makingcardboard box making since many years,17023,Manufacture of card board boxes,Manufacturing
repairinggarment stitching,14101,Manufacture of textile garments,Manufacturing
providingpolythene bag making on small scale,22203,Manufacture of plastic articles for packing,Manufacturing
providingwedding catering service for domestic use,56210,Event catering,Hospitality
i am doing fish processing,10204,Processing and preserving of fish,Manufacturing
we are manufacturers of dance music class as micro enterprise,85420,Cultural education,Education
i am doing pepper and cardamom farming unit,1284,Growing of spices,Agriculture
manufacturingcream lotion making on small scale,20237,Manufacture of cosmetics and toileteries,Manufacturing
skill training institute iti business,85221,Technical and vocational education,Education
tradingtuition centre in india,85491,Academic tutoring services,Education
we have a we sell books and stationery,47613,Retail sale of stationery,Trade
our unit is involved in rice mill,10612,Rice milling,Manufacturing
the company is engaged in wire fencing making for domestic use,25993,Manufacture of metal cable and wire,Manufacturing
providingpolythene bag making at home,22203,Manufacture of plastic articles for packing,Manufacturing
makingchili farming as msme,1282,Growing of chili,Agriculture
we have a fertilizer manufacturing near me,20121,Manufacture of urea and organic fertilizers,Manufacturing
we are manufacturers of we make cricket bats and sports equipment as msme,32300,Manufacture of sports goods,Manufacturing
we do murgi palan for domestic use,1461,Raising and breeding of poultry,Agriculture
Growingwe run a coaching class at home,85491,Academic tutoring services,Education
repairingganna cultivation unit,1140,Growing of sugar cane,Agriculture
we specialize in we make children toys as msme,32401,Manufacture of dolls and toy animals,Manufacturing
i run a chocolate production unit as msme,10732,Manufacture of chocolate,Manufacturing
i own a road and bridge construction on small scale,42101,Construction of highways and roads,Construction
my work involves web development agency,62012,Web page designing,IT Services
makingcourier service for local market,53200,Courier activities,Transport
Growingi have a cow dairy,1412,Production of milk from cows or buffaloes,Agriculture
the company is engaged in auto garage mechanic in my village,45200,Maintenance and repair of motor vehicles,Trade
my small business is warehouse storage facility since many years,52102,Warehousing non-refrigerated,Transport
we provide ayurvedic clinic on small scale,86901,Activities of Ayurveda practitioners,Healthcare
i am doing we run a printing press for domestic use,18112,Printing of books and magazines,Manufacturing
nai ki dukan,96020,Hairdressing and other beauty treatment,Services
repairinghair cutting salon for domestic use,96020,Hairdressing and other beauty treatment,Services
we do furniture manufacturing on small scale,31001,Manufacture of furniture of wood,Manufacturing
serviceatta chakki,10611,Flour milling,Manufacturing
sellingfruit juice manufacturing in india,10304,Manufacture of fruit juices,Manufacturing
i am working in we grind flour as micro enterprise,10611,Flour milling,Manufacturing
we deal in ceramic pottery unit at home,23931,Manufacture of articles of porcelain and pottery,Manufacturing
manufacturingrice farming in irrigated fields as micro enterprise,1121,Organic farming of basmati rice,Agriculture
we have a embroidery work near me,13991,Embroidery work and making of laces,Manufacturing
manufacturingdigital marketing agency near me,73100,Advertising,Professional
toy making,32401,Manufacture of dolls and toy animals,Manufacturing
the company is engaged in we make plastic sheets and boards since many years,22201,Manufacture of semi-finished plastic products,Manufacturing
fruit juice manufacturing for local market,10304,Manufacture of fruit juices,Manufacturing
repairingelectronic component making for domestic use,26101,Manufacture of electronic components,Manufacturing
makingzardozi embroidery unit,13991,Embroidery work and making of laces,Manufacturing
tradingjute bag making since many years,13942,Manufacture of cordage or rope of jute,Manufacturing
i do corrugated box manufacturing near me,17023,Manufacture of card board boxes,Manufacturing
i run a rice mill near me,10612,Rice milling,Manufacturing
we have a flour mill near me,10611,Flour milling,Manufacturing
our unit is involved in egg production farm for domestic use,1462,Production of eggs,Agriculture
makingpotato and sweet potato farming for local market,1135,Growing of potatoes and tubers,Agriculture
makingmasala manufacturing unit,10795,Grinding and processing of spices,Manufacturing
we do nuts bolts and fasteners making for export,25991,Manufacture of metal fasteners,Manufacturing
we build mobile apps for local market,62011,Writing computer programs,IT Services
we deal in doctor medical practice on small scale,86201,Medical practice activities,Healthcare
we have a chemist shop as msme,47721,Retail sale of pharmaceuticals,Trade
my small business is mirchi ki kheti in my village,1282,Growing of chili,Agriculture
i sell we produce eggs and sell as msme,1462,Production of eggs,Agriculture
tradingcomputer assembly on small scale,26201,Manufacture of desktop and laptop computers,Manufacturing
Growingelectric cable production for local market,27320,Manufacture of wires and cables,Manufacturing
providingwe produce basmati rice since many years,1121,Organic farming of basmati rice,Agriculture
i do we teach dance and music for domestic use,85420,Cultural education,Education
we have a kiryana shop business,47211,Retail sale of cereals and pulses,Trade
we do mobile phone shop as a home business,47414,Retail sale of telecommunication equipment,Trade
my small business is handloom weaving business,13121,Weaving of cotton fabrics,Manufacturing
providingpickle making as micro enterprise,10306,Manufacture of pickles and chutney,Manufacturing
tradingchocolate making for export,10732,Manufacture of chocolate,Manufacturing
manufacturingpickle making business,10306,Manufacture of pickles and chutney,Manufacturing
tradingwe provide warehousing as msme,52102,Warehousing non-refrigerated,Transport
business activity: chili farming in my village,1282,Growing of chili,Agriculture
sellinginterior painting work near me,43303,Interior and exterior painting,Construction
makingadvertising agency for domestic use,73100,Advertising,Professional
we specialize in wheat crop production,1111,Growing of wheat,Agriculture
makingwe operate auto rickshaw,49224,Taxi operation,Transport
tradingwe build mobile apps for domestic use,62011,Writing computer programs,IT Services
we are manufacturers of broiler poultry farm since many years,1461,Raising and breeding of poultry,Agriculture
the company is engaged in medicine manufacturing allopathic at home,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
i am working in small grocery shop in india,47211,Retail sale of cereals and pulses,Trade
tradingwe develop software as a home business,62011,Writing and modifying computer programs,IT Services
our unit is involved in homemade pickle business unit,10306,Manufacture of pickles and chutney,Manufacturing
poultry farming near me,1461,Raising and breeding of poultry,Agriculture
i am a kirana store for export,47211,Retail sale of food products,Trade
i do plywood manufacturing since many years,16211,Manufacture of plywood and veneer,Manufacturing
repairingtin box can making,25992,Manufacture of containers tins and cans,Manufacturing
i am working in sona chandi ki dukan near me,47733,Retail sale of jewellery,Trade
sellingknitting hosiery unit as msme,13913,Manufacture of knitted synthetic fabrics,Manufacturing
we do we provide manpower for domestic use,78100,Activities of employment placement agencies,Services
my work involves chocolate making,10732,Manufacture of chocolate,Manufacturing
sellingwe are property dealers as micro enterprise,68200,Real estate activities on fee basis,Real Estate
repairingsurgical cotton bandage making in india,21006,Manufacture of medical wadding gauze bandages,Manufacturing
our unit is involved in we sell vegetables and fruits as micro enterprise,47212,Retail sale of fresh fruit and vegetables,Trade
i am working in liquid soap manufacturing unit,20231,Manufacture of soap all forms,Manufacturing
Growingwe manufacture cosmetics as micro enterprise,20237,Manufacture of cosmetics and toileteries,Manufacturing
providingchai bagicha in assam unit,1271,Growing of tea,Agriculture
our unit is involved in jute farming,1162,Growing of jute,Agriculture
servicewe run a tea shop,56302,Tea and coffee shops,Hospitality
business activity: rice mill on small scale,10612,Rice milling,Manufacturing
we have a wheat cultivation in punjab near me,1111,Growing of wheat,Agriculture
we have a app development company as micro enterprise,62011,Writing and modifying computer programs,IT Services
we deal in we make knives and blades near me,25931,Manufacture of cutlery,Manufacturing
i am a mixed masala production,10795,Grinding and processing of spices,Manufacturing
i run a toy making,32401,Manufacture of dolls and toy animals,Manufacturing
manufacturingdental clinic near me,86202,Dental practice activities,Healthcare
tradingiti training institute near me,85221,Technical and vocational education,Education
i am working in ghee manufacturing unit as micro enterprise,10504,Manufacture of cream butter cheese ghee,Manufacturing
i am working in coffee plantation,1272,Growing of coffee,Agriculture
i run a travel agency in my village,52291,Activities of travel agents,Transport
cake and pastry making at home,10712,Manufacture of biscuits and cakes,Manufacturing
servicewe make plastic bags and packets,22203,Manufacture of plastic articles for packing,Manufacturing
sellingtwo wheeler repair workshop,45403,Maintenance of motorcycles and scooters,Trade
my work involves agarbatti banane ka kaam,20238,Manufacture of agarbatti,Manufacturing
servicemombatti banane ka kaam in india,20238,Manufacture of agarbatti and similar products,Manufacturing
makingice cream production unit unit,10505,Manufacture of ice cream,Manufacturing
tradingknife scissors making,25931,Manufacture of cutlery,Manufacturing
i am a tuition centre,85491,Academic tutoring services,Education
we are manufacturers of bread manufacturing business,10711,Manufacture of bread,Manufacturing
i own a cucumber and brinjal cultivation,1132,Growing of fruit-bearing vegetables,Agriculture
i am doing utensil making brass copper in india,25994,Manufacture of metal household articles,Manufacturing
our unit is involved in chocolate production unit near me,10732,Manufacture of chocolate,Manufacturing
business activity: nuts bolts and fasteners making business,25991,Manufacture of metal fasteners,Manufacturing
we are into mixed spice cultivation for export,1284,Growing of spices,Agriculture
business activity: leather footwear production since many years,15201,Manufacture of leather footwear,Manufacturing
the company is engaged in medicine pharmacy,47721,Retail sale of pharmaceuticals,Trade
i own a halwai making sweets,10734,Manufacture of sweetmeats,Manufacturing
we provide petrol pump since many years,47300,Retail sale of automotive fuel,Trade
we specialize in paper bag making,17024,Manufacture of sacks and bags of paper,Manufacturing
sellingelectronic component making as a home business,26101,Manufacture of electronic components,Manufacturing
Growingwe run a dhaba unit,56101,Restaurants,Hospitality
we have a ladies beauty parlour for local market,96020,Hairdressing and other beauty treatment,Services
the company is engaged in agarbatti banane ka kaam for domestic use,20238,Manufacture of agarbatti,Manufacturing
serviceproperty dealer for domestic use,68200,Real estate activities on fee basis,Real Estate
Growingbrick manufacturing as micro enterprise,23921,Manufacture of bricks,Manufacturing
business activity: cattle feed manufacturing as micro enterprise,10801,Manufacture of cattle feed,Manufacturing
my small business is cattle dairy business,1412,Production of milk from cows or buffaloes,Agriculture
repairingmithai banane ka kaam,10734,Manufacture of sweetmeats,Manufacturing
i own a provision store for domestic use,47190,Other retail sale in non-specialized stores,Trade
providingwe weave cotton fabric for local market,13121,Weaving of cotton fabrics,Manufacturing
i own a private school at home,85211,General school education first stage,Education
manufacturingprivate school unit,85211,General school education first stage,Education
we are manufacturers of metal utensil production in my village,25994,Manufacture of metal household articles,Manufacturing
sellingwe do pest control since many years,81299,Other building and industrial cleaning,Services
repairingi make gud from sugarcane since many years,10722,Manufacture of gur from sugarcane,Manufacturing
repairingchuri banane ka kaam as micro enterprise,23106,Manufacture of glass bangles,Manufacturing
we are into skill training institute iti in my village,85221,Technical and vocational education,Education
sellingwooden furniture unit for export,31001,Manufacture of furniture of wood,Manufacturing
repairingliquid soap manufacturing in india,20231,Manufacture of soap all forms,Manufacturing
Growingtoothpaste manufacturing for domestic use,20235,Manufacture of dental hygiene preparations,Manufacturing
servicelayer poultry farm at home,1461,Raising and breeding of poultry,Agriculture
we are into cotton cultivation in vidarbha for domestic use,1161,Growing of cotton,Agriculture
Growingfly ash brick making unit,23921,Manufacture of bricks,Manufacturing
we do we run a dhaba,56101,Restaurants,Hospitality
makingrubber tyre production for domestic use,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
providingmedicine manufacturing allopathic near me,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
tv and electronics repair for domestic use,95210,Repair of consumer electronics,Services
my work involves basmati rice farming as a home business,1121,Organic farming of basmati rice,Agriculture
manufacturingcold chain storage business,52101,Warehousing of refrigerated goods,Transport
our business is cold chain storage business at home,52101,Warehousing of refrigerated goods,Transport
we specialize in tablet and capsule manufacturing as micro enterprise,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
providingspice farming,1284,Growing of spices,Agriculture
i do coaching institute,85491,Academic tutoring services,Education
i run a we run a dental clinic as micro enterprise,86202,Dental practice activities,Healthcare
sellingorganic rice cultivation unit,1121,Organic farming of basmati rice,Agriculture
providingbakery manufacturing unit at home,10712,Manufacture of biscuits and cakes,Manufacturing
repairingwe are a travel agent since many years,52291,Activities of travel agents,Transport
we are manufacturers of hair oil production unit for export,20236,Manufacture of hair oil and shampoo,Manufacturing
manufacturingdetergent powder production for domestic use,20233,Manufacture of detergent,Manufacturing
we deal in alphonso mango farming,1221,Growing of mangoes,Agriculture
sweet shop making mithai,10734,Manufacture of sweetmeats,Manufacturing
our unit is involved in knitting hosiery unit,13913,Manufacture of knitted synthetic fabrics,Manufacturing
my work involves murgi palan,1461,Raising and breeding of poultry,Agriculture
i sell makan banane ka kaam,41001,Construction of buildings,Construction
leather goods manufacturing,15121,Manufacture of travel goods and bags,Manufacturing
makingtomato farming on small scale,1132,Growing of fruit-bearing vegetables,Agriculture
i am working in packaged drinking water business,11043,Manufacture of mineral water,Manufacturing
servicehair oil shampoo manufacturing at home,20236,Manufacture of hair oil and shampoo,Manufacturing
prawn farming in pond on small scale,3221,Fish farming in freshwater,Agriculture
i own a two wheeler manufacturing,30911,Manufacture of motorcycles and scooters,Manufacturing
we specialize in chappals and sandals making on small scale,15201,Manufacture of leather footwear,Manufacturing
i own a chocolate production unit,10732,Manufacture of chocolate,Manufacturing
sellingi raise chickens for meat in india,1461,Raising and breeding of poultry,Agriculture
i own a sugarcane crop production,1140,Growing of sugar cane,Agriculture
my small business is computer assembly as msme,26201,Manufacture of desktop and laptop computers,Manufacturing
our business is grocery shop,47211,Retail sale of cereals and pulses,Trade
tradingchili farming in india,1282,Growing of chili,Agriculture
we do beauty parlour salon for local market,96020,Hairdressing and other beauty treatment,Services
manufacturingsteel manufacturing business,24103,Manufacture of steel,Manufacturing
we specialize in homeopathic doctor clinic for export,86903,Activities of homeopaths,Healthcare
i am a insurance agent in my village,66220,Activities of insurance agents and brokers,Finance
we specialize in copper wire making for export,24201,Manufacture of copper products,Manufacturing
i sell diamond polishing unit in india,32112,Working of diamonds and precious stones,Manufacturing
repairingwe repair cars and vehicles near me,45200,Maintenance and repair of motor vehicles,Trade
we have a accountant ca firm since many years,69201,Accounting and auditing activities,Finance
sellingmusic and arts academy since many years,85420,Cultural education,Education
i am a moneylending business as micro enterprise,64920,Other credit granting,Finance
our unit is involved in lpg gas agency since many years,35202,Distribution and sale of gaseous fuels,Energy
Growingwe run a hospital,86100,Hospital activities,Healthcare
repairinghomeopathic medicine,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
i am working in tax consultant,69202,Tax consultancy,Finance
our unit is involved in coal mining near me,5101,Opencast mining of hard coal,Mining
sellingsoap manufacturing unit in india,20231,Manufacture of soap all forms,Manufacturing
tradingmatchbox making,20291,Manufacture of matches,Manufacturing
servicewe quarry granite,8102,Quarrying of granite,Mining
we do we repair industrial machines as a home business,33121,Repair of engines and turbines,Manufacturing
our unit is involved in computer consultancy as a home business,62020,Computer consultancy,IT Services
we provide cutlery manufacturing at home,25931,Manufacture of cutlery,Manufacturing
servicedhaba food stall near me,56101,Restaurants,Hospitality
Growingseasonal vegetable farming at home,1131,Growing of vegetables,Agriculture
we do real estate agent broker as micro enterprise,68200,Real estate activities on fee basis,Real Estate
we provide tea packing and blending business in india,10791,Processing and blending of tea,Manufacturing
i sell fish farming as msme,3221,Fish farming in freshwater,Agriculture
we specialize in dry cleaning service for local market,96010,Washing and dry cleaning of textiles,Services
providingliquid detergent making business,20233,Manufacture of detergent,Manufacturing
we specialize in animal doctor clinic,75000,Veterinary activities,Professional
tyre manufacturing,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
we are manufacturers of butter and paneer making,10504,Manufacture of cream butter cheese ghee,Manufacturing
my work involves cutlery manufacturing unit,25931,Manufacture of cutlery,Manufacturing
we have a we run a driving school in my village,85223,Professional motor driving school,Education
i sell ladies tailor,14105,Custom tailoring,Manufacturing
we have a cold storage warehouse for domestic use,52101,Warehousing of refrigerated goods,Transport
we deal in electric cable production,27320,Manufacture of wires and cables,Manufacturing
tea processing as msme,10791,Processing and blending of tea,Manufacturing
sellingwe run a tea shop on small scale,56302,Tea and coffee shops,Hospitality
i run a we make bread and biscuits,10712,Manufacture of biscuits and cakes,Manufacturing
app development company,62011,Writing and modifying computer programs,IT Services
i sell internet service provider at home,61104,Activities providing internet access,IT Services
i run a courier service unit,53200,Courier activities,Transport
servicewe sell gold and silver jewellery in india,47733,Retail sale of jewellery,Trade
i grow wheat on my farm in india,1111,Growing of wheat,Agriculture
we specialize in bathing soap production business,20231,Manufacture of soap all forms,Manufacturing
handbag manufacturing,15121,Manufacture of travel goods and bags,Manufacturing
we provide sugar manufacturing in my village,10721,Manufacture of sugar from sugarcane,Manufacturing
we have a cosmetics making unit,20237,Manufacture of cosmetics and toileteries,Manufacturing
Growingelectric cable production on small scale,27320,Manufacture of wires and cables,Manufacturing
i run a i keep bees and sell honey,1492,Bee-keeping and production of honey,Agriculture
we are into we run a hospital,86100,Hospital activities,Healthcare
we have a we run a petrol station,47300,Retail sale of automotive fuel,Trade
sellingiron and steel plant on small scale,24101,Manufacture of pig iron,Manufacturing
sellingwe grow bananas,1222,Growing of bananas,Agriculture
ladies beauty parlour,96020,Hairdressing and other beauty treatment,Services
we are into we provide architectural services,71100,Architectural and engineering activities,Professional
i run a we make toothpaste and toothpowder at home,20235,Manufacture of dental hygiene preparations,Manufacturing
sports goods manufacturing in india,32300,Manufacture of sports goods,Manufacturing
tradinghalwai making sweets as a home business,10734,Manufacture of sweetmeats,Manufacturing
our business is clay pottery business,23931,Manufacture of articles of porcelain and pottery,Manufacturing
sellingwe make cricket bats and sports equipment as micro enterprise,32300,Manufacture of sports goods,Manufacturing
our business is we run a call center near me,82200,Activities of call centres,IT Services
manufacturingjuice manufacturing unit,10304,Manufacture of fruit juices,Manufacturing
we deal in furniture making wood unit,31001,Manufacture of furniture of wood,Manufacturing
i am a paddy cultivation for export,1121,Organic farming of basmati rice,Agriculture
servicecall centre bpo since many years,82200,Activities of call centres,IT Services
servicepower loom cotton fabric business,13121,Weaving of cotton fabrics,Manufacturing
we specialize in jute cultivation in west bengal as a home business,1162,Growing of jute,Agriculture
business activity: we sell groceries for export,47211,Retail sale of cereals and pulses,Trade
